id,farm,sample,item,antibiotic,inhibition,sensitivity,microbe
4,Chileka2 ,Vegetable,Rape,GM,28,S,Pseudomonas aeruginosa
4,Chileka2 ,Vegetable,Rape,CRO,22,S,Pseudomonas aeruginosa
4,Chileka2 ,Vegetable,Rape,CIP,39,S,Pseudomonas aeruginosa
5,Mpemba,Vegetable, Amaranthus,SXT,25,S,Klebsiella pneumoniae
5,Mpemba,Vegetable, Amaranthus,CIP,28,S,Klebsiella pneumoniae
5,Mpemba,Vegetable, Amaranthus,TGC,15,R,Klebsiella pneumoniae
5,Mpemba,Vegetable, Amaranthus,CTX,23,S,Klebsiella pneumoniae
5,Mpemba,Vegetable, Amaranthus,AMP,7,R,Klebsiella pneumoniae
5,Mpemba,Vegetable, Amaranthus,GM,20,S,Klebsiella pneumoniae
5,Mpemba,Manure, Chicken manure,ATM,25,S,Serratia odoniferia
5,Mpemba,Manure, Chicken manure,CTX,21,S,Serratia odoniferia
5,Mpemba,Manure, Chicken manure,GM,23,S,Serratia odoniferia
5,Mpemba,Manure, Chicken manure,CRO,20,I,Serratia odoniferia
5,Mpemba,Manure, Chicken manure,CIP,29,S,Serratia odoniferia
5,Mpemba,Manure, Chicken manure,SXT,6,R,Klebsiella pneumoniae
5,Mpemba,Manure, Chicken manure,CIP,25,S,Klebsiella pneumoniae
5,Mpemba,Manure, Chicken manure,TGC,18,S,Klebsiella pneumoniae
5,Mpemba,Manure, Chicken manure,CTX,28,S,Klebsiella pneumoniae
5,Mpemba,Manure, Chicken manure,AMP,6,R,Klebsiella pneumoniae
5,Mpemba,Manure, Chicken manure,GM,7,R,Klebsiella pneumoniae
5,Mpemba,Manure, Chicken manure,ATM,13,R,E. coli
5,Mpemba,Manure, Chicken manure,SXT,0,R,E. coli
5,Mpemba,Manure, Chicken manure,GM,29,S,E. coli
5,Mpemba,Manure, Chicken manure,VAN,0,R,E. coli
5,Mpemba,Manure, Chicken manure,CRO,28,S,E. coli
5,Mpemba,Manure, Chicken manure,CIP,30,S,E. coli
5,Mpemba,Vegetable, Chinese Cabbage,SXT,24,S,Klebsiella pneumoniae
5,Mpemba,Vegetable, Chinese Cabbage,CIP,24,I,Klebsiella pneumoniae
5,Mpemba,Vegetable, Chinese Cabbage,TGC,22,S,Klebsiella pneumoniae
5,Mpemba,Vegetable, Chinese Cabbage,CTX,22,S,Klebsiella pneumoniae
5,Mpemba,Vegetable, Chinese Cabbage,AMP,7,R,Klebsiella pneumoniae
5,Mpemba,Vegetable, Chinese Cabbage,GM,18,S,Klebsiella pneumoniae
5,Mpemba,Soil, Farm soil,SXT,6,R,E. coli
5,Mpemba,Soil, Farm soil,CIP,30,S,E. coli
5,Mpemba,Soil, Farm soil,TGC,18,S,E. coli
